,CustomerID,ActualChurn,PredictedChurn,RiskScore,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,SegmentNumber,RiskSegment,Decile,StaticAction,SelectedAction,MarketingMessageRequired,ComplaintHistoryFlag,ServiceReviewStatus,MessageTheme,OfferDetailsRequired,OfferDetailsAvailable,MessagePreparationStatus,ScenarioSelectedSuccessPercent,ScenarioStaticSuccessPercent
0,52213,0,0,0.0016641658,23.0,Computer,1,8.0,Credit Card,Female,1.0,3,Grocery,5,Married,3,0,22.0,,2.0,2.0,278.56,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
1,50775,0,0,0.0021164692,22.0,Mobile Phone,1,10.0,Credit Card,Male,2.0,4,Others,3,Divorced,3,0,13.0,,1.0,0.0,287.11,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
2,52880,0,0,0.0022803084,25.0,Mobile Phone,1,10.0,Credit Card,Female,4.0,4,Grocery,4,Single,5,0,19.0,,2.0,1.0,262.34,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
3,55436,0,0,0.0029071213,25.0,Mobile Phone,1,10.0,Cash on Delivery,Female,3.0,4,Fashion,3,Married,4,0,12.0,3.0,,3.0,256.16,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
4,50590,0,0,0.0029696098,23.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Grocery,2,Married,10,0,22.0,,1.0,3.0,273.99,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
5,52060,0,0,0.0037154737,23.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Grocery,1,Married,10,0,22.0,,1.0,3.0,273.99,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
6,50886,0,0,0.0037418536,28.0,Mobile Phone,1,6.0,Credit Card,Male,2.0,1,Grocery,2,Married,3,0,13.0,1.0,,0.0,247.32,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
7,53442,0,0,0.0040369085,24.0,Computer,3,7.0,Debit Card,Female,4.0,4,Laptop & Accessory,3,Divorced,2,0,13.0,2.0,2.0,14.0,188.47,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
8,54695,0,0,0.0044590235,27.0,Mobile Phone,1,14.0,Debit Card,Male,3.0,2,Grocery,3,Married,5,0,20.0,,2.0,4.0,273.14,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
9,54018,0,0,0.0046053994,20.0,Mobile Phone,3,10.0,Cash on Delivery,Female,3.0,2,Grocery,5,Married,4,0,13.0,2.0,,9.0,257.25,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
10,50627,0,0,0.0051639555,23.0,Computer,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,1,0,12.0,1.0,1.0,13.0,163.47,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
11,51965,0,0,0.0058992356,6.0,Phone,3,6.0,Credit Card,Male,2.0,1,Laptop & Accessory,5,Married,2,0,22.0,0.0,1.0,8.0,140.37,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
12,51706,0,0,0.0063844724,30.0,Mobile Phone,1,6.0,Credit Card,Male,2.0,3,Laptop & Accessory,3,Married,3,0,11.0,0.0,1.0,2.0,167.55,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
13,53099,0,0,0.0070088115,26.0,Mobile Phone,1,11.0,Debit Card,Female,2.0,4,Grocery,2,Divorced,4,0,14.0,,2.0,5.0,290.55,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
14,53310,0,0,0.00770925,7.0,Mobile Phone,3,7.0,Credit Card,Male,3.0,2,Laptop & Accessory,5,Married,3,0,23.0,1.0,2.0,9.0,165.37,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
15,53590,0,0,0.0078447545,23.0,Mobile Phone,1,11.0,Credit Card,Male,3.0,5,Others,3,Divorced,4,0,,1.0,2.0,1.0,312.11,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
16,51444,0,0,0.007848563,30.0,Mobile Phone,3,16.0,Credit Card,Male,2.0,3,Grocery,3,Single,1,0,13.0,0.0,,8.0,238.72000000000003,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
17,53307,0,0,0.008897421,25.0,Mobile Phone,3,33.0,E wallet,Female,4.0,4,Grocery,3,Divorced,4,0,15.0,,5.0,18.0,288.07,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
18,51565,0,0,0.008909384,27.0,Mobile Phone,3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Married,3,0,14.0,1.0,1.0,5.0,159.4,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
19,52240,0,0,0.009054637,27.0,Mobile Phone,1,9.0,Debit Card,Male,2.0,3,Grocery,1,Married,4,0,14.0,,1.0,9.0,277.79,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
20,50155,0,0,0.0095317885,23.0,Mobile Phone,1,10.0,Debit Card,Male,3.0,3,Others,4,Married,4,0,14.0,,1.0,6.0,291.44,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
21,51079,0,0,0.010401864,26.0,Mobile Phone,1,30.0,Credit Card,Male,2.0,1,Fashion,1,Married,4,0,15.0,0.0,1.0,2.0,170.05,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
22,54026,0,0,0.010673418,13.0,Mobile Phone,1,26.0,UPI,Male,3.0,4,Laptop & Accessory,1,Married,10,0,15.0,2.0,3.0,3.0,164.02,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
23,53495,0,0,0.010688359,22.0,Computer,1,7.0,Credit Card,Male,3.0,2,Grocery,2,Single,4,0,,1.0,3.0,2.0,293.85,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
24,50952,0,0,0.010863813,27.0,Computer,1,17.0,Credit Card,Female,2.0,3,Grocery,1,Married,4,0,20.0,1.0,,12.0,260.32,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
25,55083,0,0,0.011253352,18.0,Mobile Phone,1,11.0,Debit Card,Male,4.0,2,Others,5,Married,3,0,,3.0,15.0,14.0,316.9,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
26,53092,0,0,0.011462845,30.0,Computer,3,13.0,Debit Card,Female,3.0,3,Grocery,5,Divorced,11,0,12.0,3.0,,8.0,257.12,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
27,51897,0,0,0.011868631,12.0,Mobile Phone,2,9.0,UPI,Female,2.0,1,Laptop & Accessory,4,Married,10,0,15.0,0.0,3.0,6.0,163.89,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
28,52647,0,0,0.012803212,30.0,Computer,3,8.0,Credit Card,Male,2.0,3,Grocery,4,Married,5,0,22.0,,14.0,14.0,262.91,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
29,50446,0,0,0.01288801,25.0,Computer,1,25.0,Credit Card,Male,2.0,3,Mobile Phone,2,Divorced,1,0,18.0,1.0,1.0,2.0,142.58,1,1 - Minimum Risk,10,Aksiyon Yok,Aksiyon Yok,False,False,Geçmiş şikâyet işareti yok,Pazarlama Mesajı Üretilmeyecek,False,False,Pazarlama mesajı gerekmiyor,85.0,85.0
