,SegmentNumber,RiskSegment,CustomerCount,AverageRiskScore,MinimumRiskScore,MaximumRiskScore,ActualChurnCount,ActualChurnRatePercent
0,1,1 - Minimum Risk,113,0.026217142,0.0016641658,0.05828325,0,0.0
1,2,2 - Çok Düşük Risk,113,0.12423785,0.058519065,0.19645856,0,0.0
2,3,3 - Düşük Risk,112,0.28609282,0.19893935,0.3844366,0,0.0
3,4,4 - Düşük-Orta Risk,113,0.54061204,0.38459253,0.7421162,0,0.0
4,5,5 - Orta Altı Risk,112,1.0470968,0.743697,1.4052807,0,0.0
5,6,6 - Orta Risk,113,2.0016203,1.4075779,2.9670117,0,0.0
6,7,7 - Orta-Yüksek Risk,112,4.878033,2.9749267,7.8767247,0,0.0
7,8,8 - Yüksek Risk,113,15.473437,7.9395733,33.757008,3,2.6548672566371683
8,9,9 - Çok Yüksek Risk,112,73.796394,33.829872,93.707344,74,66.07142857142857
9,10,10 - Kritik Risk,113,97.53257,93.77693,99.986626,113,100.0
