,Seed,SegmentNumber,LearnedAction,ScenarioExpectedSuccessPercent
0,42,1,Aksiyon Yok,85.0
1,42,2,Aksiyon Yok,78.0
2,42,3,Aksiyon Yok,65.0
3,42,4,Etkileşim Mesajı,65.0
4,42,5,Sadakat Teklifi,65.0
5,42,6,Sadakat Teklifi,70.0
6,42,7,İndirim Teklifi,72.0
7,42,8,İndirim Teklifi,78.0
8,42,9,Win-Back Teklifi,82.0
9,42,10,Win-Back Teklifi,88.0
10,43,1,Aksiyon Yok,85.0
11,43,2,Aksiyon Yok,78.0
12,43,3,Aksiyon Yok,65.0
13,43,4,Etkileşim Mesajı,65.0
14,43,5,Sadakat Teklifi,65.0
15,43,6,Sadakat Teklifi,70.0
16,43,7,İndirim Teklifi,72.0
17,43,8,İndirim Teklifi,78.0
18,43,9,Win-Back Teklifi,82.0
19,43,10,Win-Back Teklifi,88.0
20,44,1,Aksiyon Yok,85.0
21,44,2,Aksiyon Yok,78.0
22,44,3,Aksiyon Yok,65.0
23,44,4,Etkileşim Mesajı,65.0
24,44,5,Etkileşim Mesajı,62.0
25,44,6,Sadakat Teklifi,70.0
26,44,7,İndirim Teklifi,72.0
27,44,8,İndirim Teklifi,78.0
28,44,9,Win-Back Teklifi,82.0
29,44,10,Win-Back Teklifi,88.0
30,45,1,Aksiyon Yok,85.0
31,45,2,Aksiyon Yok,78.0
32,45,3,Aksiyon Yok,65.0
33,45,4,Etkileşim Mesajı,65.0
34,45,5,Sadakat Teklifi,65.0
35,45,6,Sadakat Teklifi,70.0
36,45,7,İndirim Teklifi,72.0
37,45,8,İndirim Teklifi,78.0
38,45,9,Win-Back Teklifi,82.0
39,45,10,Win-Back Teklifi,88.0
40,46,1,Aksiyon Yok,85.0
41,46,2,Aksiyon Yok,78.0
42,46,3,Aksiyon Yok,65.0
43,46,4,Etkileşim Mesajı,65.0
44,46,5,Sadakat Teklifi,65.0
45,46,6,Sadakat Teklifi,70.0
46,46,7,İndirim Teklifi,72.0
47,46,8,İndirim Teklifi,78.0
48,46,9,Win-Back Teklifi,82.0
49,46,10,Win-Back Teklifi,88.0
50,47,1,Aksiyon Yok,85.0
51,47,2,Aksiyon Yok,78.0
52,47,3,Aksiyon Yok,65.0
53,47,4,Etkileşim Mesajı,65.0
54,47,5,Sadakat Teklifi,65.0
55,47,6,Sadakat Teklifi,70.0
56,47,7,İndirim Teklifi,72.0
57,47,8,İndirim Teklifi,78.0
58,47,9,Win-Back Teklifi,82.0
59,47,10,Win-Back Teklifi,88.0
60,48,1,Aksiyon Yok,85.0
61,48,2,Aksiyon Yok,78.0
62,48,3,Aksiyon Yok,65.0
63,48,4,Etkileşim Mesajı,65.0
64,48,5,Sadakat Teklifi,65.0
65,48,6,Sadakat Teklifi,70.0
66,48,7,İndirim Teklifi,72.0
67,48,8,İndirim Teklifi,78.0
68,48,9,Win-Back Teklifi,82.0
69,48,10,Win-Back Teklifi,88.0
70,49,1,Aksiyon Yok,85.0
71,49,2,Aksiyon Yok,78.0
72,49,3,Aksiyon Yok,65.0
73,49,4,Etkileşim Mesajı,65.0
74,49,5,Sadakat Teklifi,65.0
75,49,6,Sadakat Teklifi,70.0
76,49,7,İndirim Teklifi,72.0
77,49,8,İndirim Teklifi,78.0
78,49,9,Win-Back Teklifi,82.0
79,49,10,Win-Back Teklifi,88.0
80,50,1,Aksiyon Yok,85.0
81,50,2,Aksiyon Yok,78.0
82,50,3,Aksiyon Yok,65.0
83,50,4,Etkileşim Mesajı,65.0
84,50,5,Sadakat Teklifi,65.0
85,50,6,Sadakat Teklifi,70.0
86,50,7,İndirim Teklifi,72.0
87,50,8,İndirim Teklifi,78.0
88,50,9,Win-Back Teklifi,82.0
89,50,10,Win-Back Teklifi,88.0
90,51,1,Aksiyon Yok,85.0
91,51,2,Aksiyon Yok,78.0
92,51,3,Aksiyon Yok,65.0
93,51,4,Etkileşim Mesajı,65.0
94,51,5,Sadakat Teklifi,65.0
95,51,6,Sadakat Teklifi,70.0
96,51,7,İndirim Teklifi,72.0
97,51,8,İndirim Teklifi,78.0
98,51,9,Win-Back Teklifi,82.0
99,51,10,Win-Back Teklifi,88.0
100,52,1,Aksiyon Yok,85.0
101,52,2,Aksiyon Yok,78.0
102,52,3,Etkileşim Mesajı,57.99999999999999
103,52,4,Etkileşim Mesajı,65.0
104,52,5,Etkileşim Mesajı,62.0
105,52,6,Sadakat Teklifi,70.0
106,52,7,İndirim Teklifi,72.0
107,52,8,İndirim Teklifi,78.0
108,52,9,Win-Back Teklifi,82.0
109,52,10,Win-Back Teklifi,88.0
110,53,1,Aksiyon Yok,85.0
111,53,2,Aksiyon Yok,78.0
112,53,3,Aksiyon Yok,65.0
113,53,4,Etkileşim Mesajı,65.0
114,53,5,Sadakat Teklifi,65.0
115,53,6,Sadakat Teklifi,70.0
116,53,7,İndirim Teklifi,72.0
117,53,8,İndirim Teklifi,78.0
118,53,9,Win-Back Teklifi,82.0
119,53,10,Win-Back Teklifi,88.0
120,54,1,Aksiyon Yok,85.0
121,54,2,Aksiyon Yok,78.0
122,54,3,Aksiyon Yok,65.0
123,54,4,Etkileşim Mesajı,65.0
124,54,5,Sadakat Teklifi,65.0
125,54,6,Sadakat Teklifi,70.0
126,54,7,İndirim Teklifi,72.0
127,54,8,İndirim Teklifi,78.0
128,54,9,Win-Back Teklifi,82.0
129,54,10,Win-Back Teklifi,88.0
130,55,1,Aksiyon Yok,85.0
131,55,2,Aksiyon Yok,78.0
132,55,3,Aksiyon Yok,65.0
133,55,4,Etkileşim Mesajı,65.0
134,55,5,Sadakat Teklifi,65.0
135,55,6,Sadakat Teklifi,70.0
136,55,7,İndirim Teklifi,72.0
137,55,8,İndirim Teklifi,78.0
138,55,9,Win-Back Teklifi,82.0
139,55,10,Win-Back Teklifi,88.0
140,56,1,Aksiyon Yok,85.0
141,56,2,Aksiyon Yok,78.0
142,56,3,Aksiyon Yok,65.0
143,56,4,Etkileşim Mesajı,65.0
144,56,5,Sadakat Teklifi,65.0
145,56,6,Sadakat Teklifi,70.0
146,56,7,İndirim Teklifi,72.0
147,56,8,İndirim Teklifi,78.0
148,56,9,Win-Back Teklifi,82.0
149,56,10,Win-Back Teklifi,88.0
150,57,1,Aksiyon Yok,85.0
151,57,2,Aksiyon Yok,78.0
152,57,3,Aksiyon Yok,65.0
153,57,4,Etkileşim Mesajı,65.0
154,57,5,Sadakat Teklifi,65.0
155,57,6,Sadakat Teklifi,70.0
156,57,7,İndirim Teklifi,72.0
157,57,8,İndirim Teklifi,78.0
158,57,9,Win-Back Teklifi,82.0
159,57,10,Win-Back Teklifi,88.0
160,58,1,Aksiyon Yok,85.0
161,58,2,Aksiyon Yok,78.0
162,58,3,Aksiyon Yok,65.0
163,58,4,Etkileşim Mesajı,65.0
164,58,5,Sadakat Teklifi,65.0
165,58,6,Sadakat Teklifi,70.0
166,58,7,İndirim Teklifi,72.0
167,58,8,İndirim Teklifi,78.0
168,58,9,Win-Back Teklifi,82.0
169,58,10,Win-Back Teklifi,88.0
170,59,1,Aksiyon Yok,85.0
171,59,2,Aksiyon Yok,78.0
172,59,3,Aksiyon Yok,65.0
173,59,4,Etkileşim Mesajı,65.0
174,59,5,Sadakat Teklifi,65.0
175,59,6,Sadakat Teklifi,70.0
